                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.50173,                0.33947,                0.91271,                0.95694,                0.95142,                0.98041,                0.88257,                0.54029,                0.34888,                0.93814,             0.00082925,             0.00082925,             0.00082925
                     37,                0.50866,                0.35649,                 0.9093,                0.94942,                0.98463,                0.98804,                0.88036,                0.55118,                0.33012,                0.94164,             0.00081688,             0.00081688,             0.00081688
                     38,                0.49964,                0.36162,                0.91903,                0.96907,                0.96643,                0.98687,                0.86898,                0.53654,                0.31623,                0.93561,              0.0008045,              0.0008045,              0.0008045
                     39,                0.48036,                0.34429,                0.90292,                 0.9701,                0.96563,                0.97902,                0.87312,                0.51821,                 0.2945,                0.91996,             0.00079213,             0.00079213,             0.00079213
                     40,                0.46739,                0.33522,                0.89893,                0.95531,                0.97005,                0.98381,                0.89043,                0.50347,                0.33004,                0.91654,             0.00077975,             0.00077975,             0.00077975
                     41,                0.48167,                0.32457,                0.91054,                0.95945,                 0.9627,                0.98627,                0.87898,                0.53961,                0.33721,                0.93816,             0.00076738,             0.00076738,             0.00076738
                     42,                0.47494,                0.32935,                  0.905,                0.96819,                0.93808,                0.97789,                0.87341,                0.53247,                0.33829,                0.93153,               0.000755,               0.000755,               0.000755
                     43,                0.46647,                0.32061,                0.90439,                0.97198,                0.95064,                0.98655,                0.90119,                0.50109,                0.30531,                0.92214,             0.00074263,             0.00074263,             0.00074263
                     44,                0.46175,                0.32077,                0.89307,                0.98442,                0.97331,                0.98775,                0.90043,                0.49017,                0.29072,                 0.9112,             0.00073025,             0.00073025,             0.00073025
                     45,                0.45497,                 0.3023,                0.89674,                 0.9706,                0.96623,                0.99131,                0.89681,                0.51227,                0.29712,                0.92297,             0.00071788,             0.00071788,             0.00071788
                     46,                0.46859,                0.30381,                0.90348,                0.95991,                 0.9624,                0.98628,                0.89071,                0.51794,                0.33021,                0.92538,              0.0007055,              0.0007055,              0.0007055
                     47,                0.46054,                0.31559,                0.90273,                0.95292,                0.94591,                 0.9685,                0.87927,                0.49849,                0.33905,                0.91298,             0.00069313,             0.00069313,             0.00069313
                     48,                0.44842,                0.30312,                 0.8968,                0.94943,                0.98265,                0.98723,                0.89222,                0.51773,                0.28138,                0.92012,             0.00068075,             0.00068075,             0.00068075
                     49,                0.44635,                 0.3089,                0.89495,                0.94177,                0.97259,                0.98056,                0.88358,                0.48665,                0.31943,                0.90549,             0.00066838,             0.00066838,             0.00066838
                     50,                0.45712,                0.30811,                0.90318,                0.96144,                0.95935,                 0.9839,                0.88731,                0.48353,                0.29985,                0.90311,               0.000656,               0.000656,               0.000656
                     51,                0.44286,                0.30469,                0.89766,                0.96901,                0.96818,                0.98794,                 0.8902,                0.50457,                0.29488,                0.91488,             0.00064362,             0.00064362,             0.00064362
                     52,                0.43361,                0.30409,                0.89073,                0.95937,                0.97357,                0.99096,                0.88903,                0.52062,                0.28643,                0.91382,             0.00063125,             0.00063125,             0.00063125
                     53,                 0.4195,                0.26946,                0.88265,                0.96835,                0.97406,                0.98914,                0.90847,                0.50398,                0.29769,                0.91364,             0.00061887,             0.00061887,             0.00061887
                     54,                0.43942,                 0.2937,                 0.8955,                0.96562,                0.95631,                0.98787,                0.89644,                0.48759,                 0.2923,                 0.9122,              0.0006065,              0.0006065,              0.0006065
                     55,                0.42649,                 0.2865,                0.88764,                 0.9449,                0.98278,                0.99131,                0.91446,                0.45818,                0.26507,                0.89246,             0.00059413,             0.00059413,             0.00059413
                     56,                0.43454,                0.30062,                0.89466,                0.95454,                0.98529,                0.99045,                0.89736,                0.49798,                0.29486,                0.92554,             0.00058175,             0.00058175,             0.00058175
                     57,                0.43292,                0.28556,                0.89205,                0.96518,                 0.9652,                0.98225,                 0.8975,                0.49906,                0.31696,                0.91709,             0.00056938,             0.00056938,             0.00056938
                     58,                0.42816,                0.28449,                0.88554,                0.94132,                  0.982,                 0.9857,                 0.8927,                0.48814,                 0.2981,                 0.9022,               0.000557,               0.000557,               0.000557
                     59,                0.42041,                0.27758,                0.88781,                0.92037,                0.97334,                0.98534,                0.89244,                0.48998,                0.30662,                0.91282,             0.00054463,             0.00054463,             0.00054463
                     60,                  0.409,                 0.2768,                0.87825,                0.96858,                0.96392,                0.98787,                 0.9038,                0.49586,                0.30074,                 0.9107,             0.00053225,             0.00053225,             0.00053225
                     61,                 0.3967,                0.26697,                0.87959,                0.96978,                0.97494,                0.98034,                 0.8952,                0.47487,                0.32369,                0.89661,             0.00051988,             0.00051988,             0.00051988
                     62,                0.39333,                0.27014,                0.87301,                0.93285,                0.98331,                0.98952,                0.89762,                0.48137,                0.29904,                0.91383,              0.0005075,              0.0005075,              0.0005075
                     63,                0.38534,                0.26527,                0.87416,                0.95036,                0.94986,                0.98021,                 0.8973,                0.50147,                0.33712,                0.91763,             0.00049513,             0.00049513,             0.00049513
                     64,                0.39242,                0.26883,                0.87575,                0.94736,                0.95732,                0.97952,                 0.8929,                 0.4839,                0.31951,                0.90742,             0.00048275,             0.00048275,             0.00048275
                     65,                0.38189,                0.26358,                0.87441,                0.97783,                0.98355,                 0.9889,                0.90337,                0.48374,                0.25958,                0.90536,             0.00047038,             0.00047038,             0.00047038
                     66,                0.38708,                0.26558,                0.87276,                0.97233,                0.96873,                0.99037,                0.90408,                0.49003,                0.28339,                0.90076,               0.000458,               0.000458,               0.000458
                     67,                0.37785,                0.25087,                0.87002,                0.95005,                0.98165,                0.98655,                0.89952,                 0.4687,                0.28077,                0.89857,             0.00044563,             0.00044563,             0.00044563
                     68,                0.37571,                0.26196,                0.87143,                0.95924,                0.96864,                0.97688,                0.88878,                0.48693,                0.32273,                0.90598,             0.00043325,             0.00043325,             0.00043325
                     69,                0.37716,                0.25734,                0.86172,                0.97183,                0.97118,                0.98928,                0.90087,                0.49037,                0.27397,                0.91679,             0.00042087,             0.00042087,             0.00042087
                     70,                 0.3799,                0.25897,                0.86947,                0.97038,                0.96692,                0.98302,                0.90825,                0.47297,                0.28093,                0.90072,              0.0004085,              0.0004085,              0.0004085
                     71,                 0.3676,                0.25508,                0.86294,                0.96875,                0.97494,                0.98531,                0.89458,                0.50035,                0.28494,                0.91398,             0.00039613,             0.00039613,             0.00039613
                     72,                0.36192,                0.23406,                 0.8649,                0.98264,                0.97849,                 0.9849,                0.90033,                0.49939,                0.26175,                0.91015,             0.00038375,             0.00038375,             0.00038375
                     73,                0.36105,                 0.2383,                0.86251,                0.98282,                0.98542,                0.99037,                0.91624,                0.48248,                0.25733,                0.90251,             0.00037138,             0.00037138,             0.00037138
                     74,                0.35608,                0.22867,                 0.8621,                0.97201,                0.97687,                0.98668,                0.90459,                0.47778,                0.27677,                0.90578,               0.000359,               0.000359,               0.000359
                     75,                0.35016,                0.22831,                0.85924,                0.96989,                0.97494,                0.98721,                0.90095,                0.48323,                0.28963,                0.91131,             0.00034663,             0.00034663,             0.00034663
                     76,                0.34961,                0.23219,                0.86287,                0.96665,                0.98581,                 0.9782,                0.90232,                0.47649,                0.27793,                0.91061,             0.00033425,             0.00033425,             0.00033425
                     77,                0.35552,                0.23406,                0.86402,                0.97076,                0.96271,                0.98063,                0.90524,                0.46543,                0.28699,                 0.8995,             0.00032188,             0.00032188,             0.00032188
                     78,                0.33842,                0.22935,                0.85076,                0.97106,                0.96746,                0.98833,                0.90282,                 0.4787,                0.27793,                0.90629,              0.0003095,              0.0003095,              0.0003095
                     79,                0.34028,                0.22518,                0.85988,                0.95936,                 0.9655,                0.98085,                0.90126,                0.46054,                0.28554,                0.89343,             0.00029713,             0.00029713,             0.00029713
                     80,                0.33504,                0.22496,                0.85931,                0.96414,                0.97579,                0.98771,                0.90512,                0.45143,                0.27005,                0.88616,             0.00028475,             0.00028475,             0.00028475
                     81,                0.34287,                0.22337,                 0.8593,                0.97144,                0.97494,                0.98215,                0.90371,                0.47265,                0.29001,                0.90187,             0.00027237,             0.00027237,             0.00027237
                     82,                0.32768,                0.21746,                0.85696,                0.96831,                0.97302,                0.98249,                0.91142,                0.46873,                0.28054,                0.89816,                0.00026,                0.00026,                0.00026
                     83,                 0.3368,                0.22032,                0.86061,                0.97045,                  0.967,                0.98819,                0.90137,                 0.4716,                0.28726,                0.90396,             0.00024762,             0.00024762,             0.00024762
                     84,                0.33434,                0.22309,                0.86057,                0.96241,                0.97494,                0.97763,                0.89369,                0.47069,                0.29704,                0.89963,             0.00023525,             0.00023525,             0.00023525
                     85,                0.33013,                0.21233,                0.86312,                 0.9605,                0.96432,                0.97664,                 0.9029,                0.45967,                0.31082,                  0.898,             0.00022288,             0.00022288,             0.00022288
                     86,                0.32842,                0.21939,                0.85794,                0.96999,                0.97473,                0.97961,                0.90757,                0.46765,                0.30144,                 0.9041,              0.0002105,              0.0002105,              0.0002105
                     87,                0.31866,                0.20967,                0.85467,                0.95246,                0.97056,                0.98177,                0.90378,                 0.4685,                0.31366,                0.90629,             0.00019813,             0.00019813,             0.00019813
                     88,                0.31757,                0.20682,                0.85232,                0.96554,                0.97224,                0.98274,                0.90158,                0.47249,                0.29449,                0.91473,             0.00018575,             0.00018575,             0.00018575
                     89,                0.31664,                0.20657,                0.85178,                 0.9675,                0.97031,                0.98487,                0.90391,                0.47194,                0.29078,                0.90992,             0.00017338,             0.00017338,             0.00017338
